Date,Start Time ,Productivity Level ,Type of Music ,Length of Study Session (hours),Class/Job ,Distractions 
4/18/25,1:03 PM,3,Folk ,0.75,ED 197 ,1
4/21/25,10:03 PM,4,Classical ,2.5,CalTeach ,4
4/22/25,10:56 PM,5,Classical ,1.5,ED 197 ,2
4/23/25,2:34 PM,4,Ambient ,2.15,"GEOG 158, ENVS 193DS",3
4/24/25,6:32 PM,3,Electropop ,1.5,GEOG 158,4
4/26/25,11:46 AM,2,Ambient ,2,"GEOG 158, ENVS 193DS",4
4/27/25,12:32 PM,4,Ambient ,3,ED 197 ,2
5/3/25,1:24 PM,4,Classical ,3,"ENV S 127B, GEOG 158 ",2
5/4/25,4:54 PM,2,Ambient ,1.5,ED 197 ,4
5/6/25,1:06 PM,5,Ambient ,2,ENV S 127B,3
5/7/25,4:03 PM,5,Classical ,4,ENV S 193DS,4
5/8/25,10:02 AM,4,Classical ,2,"ENV S 127B, GEOG 158 ",1
5/13/25,6:07 PM,4,Ambient ,1,ED 197 ,2
5/14/25,7:34 PM,4,Ambient ,2,ENV S 127B ,1
5/16/25,10:04 AM,5,Ambient ,4,"ENV S 127B, GEOG 158 ",2
5/20/25,8:17 PM,5,Ambient ,1.5,ED 197 ,2
5/21/25,2:32 PM,3,Classical ,2,GEOG 158 ,4
5/22/25,1:34 PM,4,Classical ,1.5,GEOG 158 ,3
5/23/25,11:00 AM,2,Classical ,2,ENV S 127B ,5
5/26/25,5:36 PM,3,Ambient ,2,ENV S 193DS ,3
